SPO2
99.5
99.5
99.5
99.5
99.5
99.5
99.5
99.5
99.5
99.5
99.5
98.7
98.7
98.7
98.7
98.7
98.7
98.7
98.7
98.7
98.7
98.7
97.9
97.9
97.9
97.9
97.9
97.9
97.9
97.9
97.9
97.9
97.9
99.06
99.06
99.06
99.06
99.06
99.06
99.06
99.06
99.06
99.06
99.06
97.9
97.9
97.9
97.9
97.9
97.9
97.9
97.9
97.9
97.9
97.9
99.6
99.6
99.6
99.6
99.6
99.6
99.6
99.6
99.6
99.6
99.6
98.5
98.5
98.5
98.5
98.5
98.5
98.5
98.5
98.5
98.5
98.5
99.06
99.06
99.06
99.06
99.06
99.06
99.06
99.06
99.06
99.06
99.06
99.4
99.4
99.4
99.4
99.4
99.4
99.4
99.4
99.4
99.4
99.4
98.3
98.3
98.3
98.3
98.3
98.3
98.3
98.3
98.3
98.3
98.3
97.6
97.6
97.6
97.6
97.6
97.6
97.6
97.6
97.6
97.6
97.6
98.8
98.8
98.8
98.8
98.8
98.8
98.8
98.8
98.8
98.8
98.8
97.9
97.9
97.9
97.9
97.9
97.9
97.9
97.9
97.9
97.9
97.9
99.6
99.6
99.6
99.6
99.6
99.6
99.6
99.6
99.6
99.6
99.6
99.3
99.3
99.3
99.3
99.3
99.3
99.3
99.3
99.3
99.3
99.3
98.9
98.9
98.9
98.9
98.9
98.9
98.9
98.9
98.9
98.9
98.9
99.15
99.15
99.15
99.15
99.15
99.15
99.15
99.15
99.15
99.15
99.15
